objectid,parentid,title,creator,height,width,provenance,medium,citation,subject_person,subject_topic,source,print_type,display_template,object_location,image_thumb,image_small
ph109897,bpa1010,Holy Family + Infant St.John [Photograph],,,,,,,,,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,black-and-white prints,image,/objects/109897_1_45942662.jpg,/objects/image_thumb/109897_1_45942662.jpg,/objects/image_small/109897_1_45942662.jpg
ph110164,bpa1011,Madonna with Infant John [Photograph],Thomas Agnew & Sons,,,,,,,,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,black-and-white prints,image,/objects/110164_1_45936377.jpg,/objects/image_thumb/110164_1_45936377.jpg,/objects/image_small/110164_1_45936377.jpg
ph110165,bpa1011,The Madonna + Child + St. John [Photograph],A. C. Cooper,,,,,,,,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,black-and-white prints,image,/objects/110165_1_45936379.jpg,/objects/image_thumb/110165_1_45936379.jpg,/objects/image_small/110165_1_45936379.jpg
ph110168,bpa1013,[Untitled] [Photograph],Mario Perotti,,,,,,,,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,black-and-white prints,image,/objects/110168_1_45936387.jpg,/objects/image_thumb/110168_1_45936387.jpg,/objects/image_small/110168_1_45936387.jpg
ph110186,bpa1014,Rest on Feight (variant of the Ambrosiana) [Photograph],,,,,,,,,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,black-and-white prints,image,/objects/110186_1_45936413.jpg,/objects/image_thumb/110186_1_45936413.jpg,/objects/image_small/110186_1_45936413.jpg
ph110226,bpa1015,Portrait of Old Woman [Photograph],,,,,,,,,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,black-and-white prints,image,/objects/110226_1_45936475.jpg,/objects/image_thumb/110226_1_45936475.jpg,/objects/image_small/110226_1_45936475.jpg
ph109644v,bpa1001,Portrait of a Venetian General [Photograph][Verso],,,,,,,,,,,image,/objects/109644_2_45942228.jpg,/objects/image_thumb/109644_2_45942228.jpg,/objects/image_small/109644_2_45942228.jpg
ph109659v,bpa1002,Poet Between Vice & Virtue [Photograph][Verso],,,,,,,,,,,image,/objects/109659_2_45942256.jpg,/objects/image_thumb/109659_2_45942256.jpg,/objects/image_small/109659_2_45942256.jpg
ph109689v,bpa1003,Venus & Adonis [Photograph][Verso],,,,,,,,,,,image,/objects/109689_2_45942300.jpg,/objects/image_thumb/109689_2_45942300.jpg,/objects/image_small/109689_2_45942300.jpg
ph109707v,bpa1004,The Astronomer [Photograph][Verso],,,,,,,,,,,image,/objects/109707_2_45942332.jpg,/objects/image_thumb/109707_2_45942332.jpg,/objects/image_small/109707_2_45942332.jpg
ph109832v,bpa1005,Shepherd & Nymph [Photograph][Verso],,,,,,,,,,,image,/objects/109832_2_45942539.jpg,/objects/image_thumb/109832_2_45942539.jpg,/objects/image_small/109832_2_45942539.jpg
ph109833v,bpa1006,Courtesean [Photograph][Verso],,,,,,,,,,,image,/objects/109833_2_45942541.jpg,/objects/image_thumb/109833_2_45942541.jpg,/objects/image_small/109833_2_45942541.jpg
ph109842v,bpa1007,Portrait of Fair Haired Woman Holding Elaborate Dish [Photograph][Verso],,,,,,,,,,,image,/objects/109842_2_45942557.jpg,/objects/image_thumb/109842_2_45942557.jpg,/objects/image_small/109842_2_45942557.jpg
ph109880v,bpa1008,Rest on Flight(Cooper) [Photograph][Verso],,,,,,,,,,,image,/objects/109880_2_45942627.jpg,/objects/image_thumb/109880_2_45942627.jpg,/objects/image_small/109880_2_45942627.jpg
ph109881v,bpa1009,Rest on Flight [Photograph][Verso],,,,,,,,,,,image,/objects/109881_2_45942657.jpg,/objects/image_thumb/109881_2_45942657.jpg,/objects/image_small/109881_2_45942657.jpg
ph109897v,bpa1010,Holy Family + Infant St John [Photograph][Verso],,,,,,,,,,,image,/objects/109897_2_45942663.jpg,/objects/image_thumb/109897_2_45942663.jpg,/objects/image_small/109897_2_45942663.jpg
ph110164v,bpa1011,Madonna with Infant John [Photograph][Verso],,,,,,,,,,,image,/objects/110164_2_45936378.jpg,/objects/image_thumb/110164_2_45936378.jpg,/objects/image_small/110164_2_45936378.jpg
ph110165v,bpa1011,The Madonna + Child + St. John [Photograph][Verso],,,,,,,,,,,image,/objects/110165_2_45936380.jpg,/objects/image_thumb/110165_2_45936380.jpg,/objects/image_small/110165_2_45936380.jpg
ph110168v,bpa1013,[Untitled] [Photograph][Verso],,,,,,,,,,,image,/objects/110168_2_45936388.jpg,/objects/image_thumb/110168_2_45936388.jpg,/objects/image_small/110168_2_45936388.jpg
ph110186v,bpa1014,Rest on Feight (variant of the Ambrosiana) [Photograph][Verso],,,,,,,,,,,image,/objects/110186_2_45936414.jpg,/objects/image_thumb/110186_2_45936414.jpg,/objects/image_small/110186_2_45936414.jpg
ph110226v,bpa1015,Portrait of Old Woman [Photograph][Verso],,,,,,,,,,,image,/objects/110226_2_45936476.jpg,/objects/image_thumb/110226_2_45936476.jpg,/objects/image_small/110226_2_45936476.jpg
